race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
Caucasian (European),53,Yes,Male,Right,Another page,US,4,2,5,2,5,1,4,3,5,1,1,5,2,5,1,1,1,1,1,1,1,5,1,5,2,3,1,5,4,5,4,1,5,1,5,1,4,1,4,5,4,1,3,1,5,1,4,2,5,5,44,11,46,47,43,88.0,22.0,92.0,94.0,86.0
Other,46,Yes,Female,Right,Another page,US,2,2,3,3,3,3,1,5,1,5,2,3,4,2,3,4,3,2,2,4,1,3,3,4,4,4,2,3,4,3,4,1,3,2,3,1,5,1,4,4,3,3,3,3,2,3,3,1,3,2,22,31,35,42,26,44.0,62.0,70.0,84.0,52.0
Mixed Race,14,No,Female,Right,Another page,PK,5,1,1,4,5,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,5,5,5,4,1,5,1,5,1,5,1,5,5,4,5,5,1,5,1,5,5,5,5,35,46,38,49,45,70.0,92.0,76.0,98.0,90.0
Caucasian (European),19,No,Female,Right,Another page,RO,2,5,2,4,3,4,3,4,4,5,5,4,4,2,4,5,5,5,4,5,2,5,4,4,3,5,3,4,4,3,3,3,4,5,1,4,5,4,2,3,4,3,5,2,4,2,5,2,5,5,22,43,37,26,41,44.0,86.0,74.0,52.0,82.0
South East Asian,25,No,Female,Right,Google,US,3,1,3,3,3,1,3,1,3,5,3,3,3,4,3,3,3,3,3,4,5,5,3,5,1,5,1,5,5,5,3,1,5,3,3,1,1,3,3,3,3,1,1,1,3,1,3,1,5,3,34,30,44,34,34,68.0,60.0,88.0,68.0,68.0
Other,31,Yes,Female,Right,Google,US,1,5,2,4,1,3,2,4,1,5,1,5,4,5,1,4,4,1,5,2,2,2,3,4,3,4,3,5,5,3,2,5,4,3,3,4,5,3,5,3,4,2,1,3,3,5,5,4,5,3,16,24,36,31,33,32.0,48.0,72.0,62.0,66.0
Caucasian (Middle East),20,Yes,Female,Right,Other or not provided,US,5,1,5,1,5,1,5,4,4,1,2,4,2,4,2,2,3,2,2,2,5,5,1,5,1,5,1,5,4,5,2,4,3,3,3,3,3,3,3,3,3,1,5,1,4,1,4,3,3,4,46,21,45,28,41,92.0,42.0,90.0,56.0,82.0
Caucasian (Indian),23,No,Male,Right,Google,IN,4,3,5,3,5,1,4,3,4,3,1,4,4,4,1,1,1,1,1,1,2,5,1,4,3,3,1,3,4,5,4,2,5,1,4,1,4,1,3,5,3,1,5,1,4,1,5,3,2,5,39,15,41,44,42,78.0,30.0,82.0,88.0,84.0
Caucasian (Middle East),39,Yes,Female,Both,.edu domain site,US,3,1,5,1,5,1,5,2,5,3,2,4,5,3,3,5,5,4,3,3,1,5,1,5,1,5,1,5,5,4,4,3,5,2,5,2,5,2,4,3,3,3,5,3,5,1,5,3,4,5,45,35,49,41,41,90.0,70.0,98.0,82.0,82.0
Caucasian (European),18,Yes,Female,Right,Other or not provided,US,1,4,2,5,2,4,1,4,1,5,5,2,5,2,3,4,3,2,3,4,2,3,1,4,2,4,3,3,3,2,5,2,4,2,3,2,4,2,4,4,4,2,5,2,4,1,4,3,4,4,15,37,35,40,41,30.0,74.0,70.0,80.0,82.0
